index,HOOD,ratio,score_out_of_10,ZIP_CODE,SCORE,AMOUNT,final_score
130,Windgap,0.8088041319354838,1.1539958518784932,,,,1.1539958518784932
92,Perry South,1.1984557690646258,1.7446056355930153,15212,0.51282051282,312.0,1.1287130742065077
44,Esplen,0.768576101,1.093020697699447,,,,1.093020697699447
89,Overbrook,0.7254330024185186,1.0276270647874468,,,,1.0276270647874468
90,Penn Hills,,,15235,1.02564102564,196.0,1.02564102564
128,Westwood,0.6935656391684782,0.9793244921219544,,,,0.9793244921219544
125,West End,0.672527101,0.947435580865471,,,,0.947435580865471
114,St. Clair,0.974094541,1.4045328019268355,15210,0.25641025641,391.0,0.8304715291684177
16,Bon Air,0.593013894,0.8269143934409365,,,,0.8269143934409365
100,Ridgemont,0.504284769,0.6924242891222921,,,,0.6924242891222921
7,Banksville,0.3517378512857143,0.4612031328572899,15216,0.76923076923,200.0,0.6152169510436449
54,Hays,0.286174844,0.3618267929091641,,,,0.3618267929091641
30,Chartiers City,0.284980038,0.3600157800812957,,,,0.3600157800812957
117,Summer Hill,0.255189237,0.3148607316772236,,,,0.3148607316772236
77,Mount Oliver,,,15210,0.25641025641,391.0,0.25641025641
66,Lincoln Place,0.2127753879535714,0.2505724499793098,,,,0.2505724499793098
82,New Homestead,0.047461558,0.0,,,,0.0
